Date,Email Address,No Error,Number of Errors,Total,Error Rate,CSAT YES,CSAT Survey Count,CSAT,TeamLead,Age,Tenure,Shift
3/7/2017,jammie.egbert@jasondaman.com,311,10,321,3.12%,86,93,92.47%,Joey Jordison,34,7,PM
7/29/2017,bill.badilla@basil.com,1118,28,1146,2.44%,91,141,64.54%,Don De Marco,49,5,AM
10/26/2017,bernard.gana@jom.com,1064,23,1087,2.12%,23,95,24.21%,Buckey Barnes,52,6,PM
4/2/2017,lucky.morales@jasondaman.com,901,13,914,1.42%,39,129,30.23%,Don De Marco,53,2,PM
2/19/2017,michelle.canlas02@jom.com,1058,14,1072,1.31%,41,115,35.65%,Joey Jordison,34,7,MID
11/29/2017,aljon.rivera@jom.com,464,24,488,4.92%,45,126,35.71%,Joey Jordison,29,9,MID
9/10/2017,jonathan.euperio@jasondaman.com,628,16,644,2.48%,94,143,65.73%,Joey Jordison,38,3,MID
7/27/2017,hanna.luat@abc.com,471,20,491,4.07%,35,141,24.82%,Buckey Barnes,24,8,AM
4/28/2017,lucky.morales@abc.com,801,22,823,2.67%,97,124,78.23%,Buckey Barnes,60,5,MID
7/16/2017,joy.vargas@jom.com,624,22,646,3.41%,70,144,48.61%,Buckey Barnes,22,3,AM
3/13/2017,portia.bautista@basil.com,364,29,393,7.38%,82,112,73.21%,Buckey Barnes,39,5,AM
4/22/2017,ranie.liwanag@abc.com,940,15,955,1.57%,36,137,26.28%,Joey Jordison,43,2,MID
9/18/2017,bernard.gana@jasondaman.com,828,22,850,2.59%,100,118,84.75%,Buckey Barnes,51,2,MID
7/12/2017,maria.alindada@jom.com,964,13,977,1.33%,42,124,33.87%,Joey Jordison,59,2,PM
5/31/2017,regine.samson@basil.com,1068,19,1087,1.75%,53,138,38.41%,Joey Jordison,22,6,MID
3/2/2017,rolando.cabrera@jom.com,627,21,648,3.24%,100,122,81.97%,Don De Marco,39,5,AM
2/16/2017,reymar.gasparillo@tuso.com,460,13,473,2.75%,31,144,21.53%,Joey Jordison,31,6,AM
4/1/2017,raissa.utulo@jasondaman.com,1148,29,1177,2.46%,46,96,47.92%,Buckey Barnes,25,4,AM
10/28/2017,bill.badilla@jasondaman.com,1094,57,1151,4.95%,82,100,82.00%,Buckey Barnes,46,7,MID
3/18/2017,michael.villegas@jasondaman.com,810,0,810,0.00%,60,109,55.05%,Don De Marco,44,2,AM
2/6/2017,rey.mallari@jasondaman.com,956,3,959,0.31%,47,134,35.07%,Don De Marco,40,7,MID
6/17/2017,hanna.luat@basil.com,718,4,722,0.55%,32,126,25.40%,Don De Marco,65,8,MID
12/27/2017,regine.samson@jasondaman.com,1182,8,1190,0.67%,57,132,43.18%,Don De Marco,49,9,AM
3/2/2017,lea.sahagun@jasondaman.com,446,2,448,0.45%,77,111,69.37%,Joey Jordison,36,3,MID
6/16/2017,maria.tatlonghari@tuso.com,810,4,814,0.49%,29,118,24.58%,Joey Jordison,31,9,MID
5/20/2017,mark.gonzales@tuso.com,1186,8,1194,0.67%,36,92,39.13%,Buckey Barnes,28,4,PM
6/8/2017,mark.antonio@abc.com,855,9,864,1.04%,83,125,66.40%,Don De Marco,46,9,AM
5/9/2017,maria.gagarin@jasondaman.com,1020,5,1025,0.49%,62,149,41.61%,Joey Jordison,61,1,MID
10/23/2017,lorenzo.pingul@basil.com,360,4,364,1.10%,78,91,85.71%,Joey Jordison,37,9,PM
11/26/2017,valesca.castro@jasondaman.com,552,9,561,1.60%,49,123,39.84%,Don De Marco,46,10,AM
5/14/2017,wren.tabios@jasondaman.com,435,9,444,2.03%,51,140,36.43%,Joey Jordison,24,5,MID
3/25/2017,rolando.cabrera@abc.com,589,4,593,0.67%,78,90,86.67%,Don De Marco,56,9,PM
3/15/2017,rey.mallari@jom.com,1176,12,1188,1.01%,78,145,53.79%,Don De Marco,42,5,PM
1/30/2017,jonathan.euperio@basil.com,645,11,656,1.68%,52,125,41.60%,Don De Marco,40,5,MID
2/28/2017,lorenzo.pingul@basil.com,480,12,492,2.44%,80,115,69.57%,Don De Marco,59,3,MID
2/12/2017,ranie.liwanag@tuso.com,935,13,948,1.37%,38,107,35.51%,Buckey Barnes,22,6,PM
4/3/2017,mark.gonzales@basil.com,882,11,893,1.23%,70,146,47.95%,Buckey Barnes,27,3,AM
1/14/2017,aljon.rivera@jom.com,777,10,787,1.27%,58,98,59.18%,Don De Marco,43,1,AM
4/8/2017,rolando.cabrera@jom.com,856,16,872,1.83%,40,114,35.09%,Don De Marco,48,2,PM
3/3/2017,reinerio.echauz@jasondaman.com,678,6,684,0.88%,48,127,37.80%,Joey Jordison,60,6,AM
3/23/2017,catherin.gajelan@abc.com,793,8,801,1.00%,89,112,79.46%,Joey Jordison,39,10,MID
12/1/2017,archie.cortez@jasondaman.com,710,5,715,0.70%,92,105,87.62%,Buckey Barnes,37,2,PM
6/5/2017,wren.tabios@jasondaman.com,658,10,668,1.50%,26,92,28.26%,Buckey Barnes,27,6,PM
8/18/2017,mark.gonzales@tuso.com,1089,18,1107,1.63%,68,124,54.84%,Don De Marco,52,7,MID
8/25/2017,julien.reyes@tuso.com,857,13,870,1.49%,56,129,43.41%,Joey Jordison,56,10,MID
3/2/2017,karlo.delacruz@jasondaman.com,752,20,772,2.59%,49,128,38.28%,Buckey Barnes,64,3,AM
11/4/2017,karlo.delacruz@basil.com,1188,14,1202,1.16%,93,93,100.00%,Buckey Barnes,43,5,PM
8/19/2017,joy.vargas@tuso.com,345,19,364,5.22%,68,92,73.91%,Buckey Barnes,21,6,PM
4/4/2017,mark.antonio@basil.com,673,16,689,2.32%,58,147,39.46%,Joey Jordison,56,10,AM
6/6/2017,mark.antonio@basil.com,362,15,377,3.98%,85,96,88.54%,Buckey Barnes,44,8,AM
6/2/2017,calvin.martinez@abc.com,1100,18,1118,1.61%,51,114,44.74%,Buckey Barnes,58,7,MID
4/4/2017,catherin.gajelan@jom.com,497,19,516,3.68%,97,122,79.51%,Buckey Barnes,50,8,PM
3/27/2017,jocelyn.gerochi@tuso.com,973,25,998,2.51%,60,92,65.22%,Don De Marco,40,9,MID
6/28/2017,wren.tabios@jom.com,1144,10,1154,0.87%,53,101,52.48%,Joey Jordison,36,5,MID
10/6/2017,may.lumba@basil.com,469,28,497,5.63%,79,122,64.75%,Don De Marco,37,5,MID
4/30/2017,regine.samson@jom.com,485,23,508,4.53%,76,98,77.55%,Buckey Barnes,28,5,PM
1/2/2017,jammie.egbert@jasondaman.com,607,13,620,2.10%,27,128,21.09%,Don De Marco,54,2,PM
6/7/2017,angelo.agbannaoag@tuso.com,367,14,381,3.67%,30,144,20.83%,Joey Jordison,34,10,AM
5/23/2017,rolando.cabrera@abc.com,781,24,805,2.98%,67,128,52.34%,Joey Jordison,25,8,AM
7/9/2017,portia.bautista@basil.com,743,16,759,2.11%,78,106,73.58%,Joey Jordison,49,7,MID
2/6/2017,catherin.gajelan@jasondaman.com,755,20,775,2.58%,65,126,51.59%,Buckey Barnes,61,9,AM
9/24/2017,maria.gagarin@basil.com,911,22,933,2.36%,68,134,50.75%,Buckey Barnes,58,6,PM
2/6/2017,jocelyn.gerochi@jasondaman.com,730,22,752,2.93%,77,117,65.81%,Buckey Barnes,24,6,MID
8/6/2017,joy.vargas@basil.com,334,29,363,7.99%,88,111,79.28%,Buckey Barnes,45,1,AM
11/9/2017,raissa.utulo@basil.com,371,15,386,3.89%,91,108,84.26%,Joey Jordison,25,6,PM
5/9/2017,jocelyn.gerochi@jasondaman.com,536,22,558,3.94%,29,125,23.20%,Buckey Barnes,50,6,MID
4/15/2017,marie.aguas@basil.com,782,13,795,1.64%,22,144,15.28%,Joey Jordison,64,3,PM
4/24/2017,karlo.delacruz@jom.com,903,19,922,2.06%,64,140,45.71%,Joey Jordison,46,2,AM
3/14/2017,lorenzo.pingul@jasondaman.com,311,21,332,6.33%,51,125,40.80%,Don De Marco,47,8,MID
2/5/2017,angelo.agbannaoag@basil.com,1052,13,1065,1.22%,27,121,22.31%,Joey Jordison,58,10,MID
8/19/2017,deanly.dizon@abc.com,496,29,525,5.52%,98,106,92.45%,Buckey Barnes,46,10,PM
4/24/2017,reymar.gasparillo@abc.com,727,57,784,7.27%,51,122,41.80%,Buckey Barnes,44,4,MID
11/21/2017,john.david@basil.com,978,0,978,0.00%,36,103,34.95%,Don De Marco,28,1,PM
3/27/2017,karen.garces@basil.com,644,3,647,0.46%,97,101,96.04%,Don De Marco,61,9,AM
6/5/2017,reymar.gasparillo@jom.com,627,4,631,0.63%,25,142,17.61%,Don De Marco,51,8,AM
8/1/2017,john.david@tuso.com,937,8,945,0.85%,83,94,88.30%,Don De Marco,35,8,AM
5/3/2017,lucky.morales@jom.com,535,2,537,0.37%,28,91,30.77%,Joey Jordison,25,4,MID
4/20/2017,alexander.dula@jasondaman.com,372,4,376,1.06%,90,97,92.78%,Joey Jordison,29,10,PM
6/12/2017,mark.gonzales@basil.com,747,8,755,1.06%,40,113,35.40%,Buckey Barnes,58,6,MID
6/18/2017,marion.yutuc@jom.com,605,9,614,1.47%,61,146,41.78%,Don De Marco,61,9,PM
2/16/2017,joy.vargas@jom.com,1078,5,1083,0.46%,45,127,35.43%,Joey Jordison,49,3,AM
4/5/2017,rey.mallari@basil.com,1161,4,1165,0.34%,49,93,52.69%,Joey Jordison,31,9,MID
4/27/2017,lea.sahagun@basil.com,871,9,880,1.02%,56,111,50.45%,Don De Marco,57,2,PM
12/4/2017,mark.gonzales@basil.com,772,9,781,1.15%,75,102,73.53%,Joey Jordison,61,5,PM
4/6/2017,maria.gagarin@tuso.com,631,4,635,0.63%,32,146,21.92%,Don De Marco,29,3,AM
8/6/2017,valesca.castro@tuso.com,1182,12,1194,1.01%,52,107,48.60%,Don De Marco,38,1,AM
12/23/2017,reinerio.echauz@basil.com,1082,11,1093,1.01%,67,119,56.30%,Don De Marco,31,10,PM
11/26/2017,raissa.utulo@tuso.com,1160,12,1172,1.02%,89,113,78.76%,Don De Marco,56,2,PM
4/6/2017,aljon.rivera@abc.com,1006,13,1019,1.28%,61,131,46.56%,Buckey Barnes,21,4,PM
11/12/2017,may.lumba@basil.com,1105,11,1116,0.99%,48,112,42.86%,Buckey Barnes,30,6,AM
10/14/2017,allan.manabat@jasondaman.com,611,10,621,1.61%,31,128,24.22%,Don De Marco,59,2,PM
9/12/2017,karen.garces@jom.com,537,16,553,2.89%,24,126,19.05%,Don De Marco,49,1,MID
2/5/2017,regine.samson@jasondaman.com,1045,6,1051,0.57%,60,113,53.10%,Joey Jordison,22,6,PM
1/25/2017,maria.tatlonghari@jasondaman.com,718,8,726,1.10%,59,94,62.77%,Joey Jordison,59,6,PM
11/8/2017,julien.reyes@jasondaman.com,965,5,970,0.52%,43,144,29.86%,Buckey Barnes,34,5,PM
1/30/2017,wren.tabios@abc.com,659,10,669,1.49%,26,149,17.45%,Buckey Barnes,46,6,PM
3/19/2017,jerico.alde@basil.com,1035,18,1053,1.71%,90,140,64.29%,Don De Marco,50,4,MID
10/28/2017,ranie.liwanag@tuso.com,454,13,467,2.78%,37,95,38.95%,Joey Jordison,64,5,PM
12/1/2017,aljon.rivera@basil.com,403,20,423,4.73%,68,142,47.89%,Buckey Barnes,31,6,PM
8/10/2017,julien.reyes@basil.com,440,14,454,3.08%,20,111,18.02%,Buckey Barnes,28,2,PM
9/25/2017,valesca.castro@jom.com,1177,19,1196,1.59%,31,142,21.83%,Buckey Barnes,55,4,MID
8/27/2017,maria.alindada@jom.com,1052,16,1068,1.50%,71,145,48.97%,Joey Jordison,48,2,AM
3/13/2017,alexander.dula@jom.com,475,15,490,3.06%,27,103,26.21%,Buckey Barnes,23,3,PM
9/30/2017,ranie.liwanag@jasondaman.com,1076,18,1094,1.65%,93,116,80.17%,Buckey Barnes,39,8,AM
4/23/2017,jocelyn.gerochi@jom.com,464,19,483,3.93%,70,102,68.63%,Buckey Barnes,42,10,AM
11/18/2017,julien.reyes@basil.com,358,25,383,6.53%,60,99,60.61%,Don De Marco,38,5,PM
9/2/2017,ryan.perez@jasondaman.com,613,10,623,1.61%,78,100,78.00%,Joey Jordison,61,6,AM
11/21/2017,mark.antonio@tuso.com,790,28,818,3.42%,21,145,14.48%,Don De Marco,65,8,PM
12/30/2017,john.david@jasondaman.com,426,23,449,5.12%,30,107,28.04%,Buckey Barnes,37,9,MID
8/3/2017,reinerio.echauz@jasondaman.com,1131,13,1144,1.14%,72,147,48.98%,Don De Marco,43,4,MID
3/14/2017,maria.tatlonghari@abc.com,572,14,586,2.39%,98,97,101.03%,Joey Jordison,25,3,MID
12/25/2017,bill.bautista@jom.com,1013,24,1037,2.31%,40,108,37.04%,Joey Jordison,31,1,MID
12/9/2017,lorenzo.pingul@tuso.com,777,16,793,2.02%,50,120,41.67%,Joey Jordison,31,4,PM
10/5/2017,bernard.gana@abc.com,939,20,959,2.09%,61,102,59.80%,Buckey Barnes,56,9,AM
1/5/2017,hanna.luat@jom.com,746,22,768,2.86%,87,92,94.57%,Buckey Barnes,55,1,PM
7/17/2017,alexander.dula@basil.com,1102,22,1124,1.96%,75,127,59.06%,Buckey Barnes,37,9,PM
8/14/2017,jammie.egbert@basil.com,503,29,532,5.45%,66,119,55.46%,Buckey Barnes,26,7,PM
4/14/2017,lea.sahagun@basil.com,559,15,574,2.61%,58,103,56.31%,Joey Jordison,60,4,AM
3/16/2017,rolando.cabrera@jasondaman.com,449,22,471,4.67%,97,103,94.17%,Buckey Barnes,53,8,MID
1/14/2017,allan.manabat@basil.com,1004,13,1017,1.28%,82,143,57.34%,Joey Jordison,24,3,PM
12/8/2017,aljon.rivera@basil.com,1028,19,1047,1.81%,34,95,35.79%,Joey Jordison,65,2,MID
9/19/2017,angelo.agbannaoag@basil.com,1175,21,1196,1.76%,70,113,61.95%,Don De Marco,44,6,MID
12/22/2017,alexander.dula@basil.com,1017,13,1030,1.26%,51,99,51.52%,Joey Jordison,37,4,PM
3/24/2017,aljen.lizada@jom.com,1045,29,1074,2.70%,74,110,67.27%,Buckey Barnes,65,10,AM
5/17/2017,reymar.gasparillo@jasondaman.com,886,57,943,6.04%,60,111,54.05%,Buckey Barnes,65,9,MID
11/6/2017,karlo.delacruz@abc.com,821,0,821,0.00%,37,109,33.94%,Don De Marco,26,7,PM
7/26/2017,edward.malig@basil.com,547,3,550,0.55%,21,97,21.65%,Don De Marco,49,4,AM
10/13/2017,lea.sahagun@jom.com,631,4,635,0.63%,53,134,39.55%,Don De Marco,33,10,MID
2/7/2017,calvin.martinez@tuso.com,848,8,856,0.93%,93,111,83.78%,Don De Marco,33,2,AM
11/19/2017,danez.bondoc@jasondaman.com,1104,2,1106,0.18%,60,137,43.80%,Joey Jordison,52,3,PM
1/3/2017,marion.yutuc@jasondaman.com,460,4,464,0.86%,58,120,48.33%,Joey Jordison,52,2,AM
10/7/2017,allan.manabat@jasondaman.com,823,8,831,0.96%,82,147,55.78%,Buckey Barnes,55,3,AM
12/2/2017,michael.villegas@tuso.com,1134,9,1143,0.79%,60,106,56.60%,Don De Marco,42,1,MID
9/14/2017,reinerio.echauz@basil.com,701,5,706,0.71%,96,134,71.64%,Joey Jordison,49,8,PM
12/26/2017,rey.mallari@tuso.com,1143,4,1147,0.35%,94,140,67.14%,Joey Jordison,35,3,AM
10/14/2017,john.david@jasondaman.com,488,9,497,1.81%,35,97,36.08%,Don De Marco,60,8,PM
7/29/2017,angelo.agbannaoag@jasondaman.com,587,9,596,1.51%,51,115,44.35%,Joey Jordison,43,9,PM
2/7/2017,mark.gonzales@abc.com,498,4,502,0.80%,85,146,58.22%,Don De Marco,33,9,MID
7/3/2017,bill.badilla@tuso.com,500,12,512,2.34%,28,102,27.45%,Don De Marco,22,9,PM
5/28/2017,archie.cortez@basil.com,581,11,592,1.86%,26,140,18.57%,Don De Marco,49,5,PM
3/2/2017,marion.yutuc@jasondaman.com,562,12,574,2.09%,47,117,40.17%,Don De Marco,22,5,PM
1/18/2017,deanly.dizon@tuso.com,856,13,869,1.50%,87,125,69.60%,Buckey Barnes,55,10,MID
3/5/2017,reinerio.echauz@abc.com,1033,11,1044,1.05%,51,142,35.92%,Buckey Barnes,33,10,MID
5/9/2017,jammie.egbert@jom.com,577,10,587,1.70%,41,146,28.08%,Don De Marco,52,8,AM
12/16/2017,debonaire.liwanag@abc.com,923,16,939,1.70%,59,92,64.13%,Don De Marco,36,4,PM
1/4/2017,michelle.canlas02@abc.com,986,6,992,0.60%,47,149,31.54%,Joey Jordison,21,4,MID
5/27/2017,lea.sahagun@jom.com,620,8,628,1.27%,94,111,84.68%,Joey Jordison,33,3,MID
3/24/2017,jessica.higginbottom@jom.com,497,5,502,1.00%,89,109,81.65%,Buckey Barnes,43,9,PM
3/25/2017,karen.garces@jasondaman.com,450,10,460,2.17%,34,114,29.82%,Buckey Barnes,33,3,PM
2/16/2017,regine.samson@jom.com,336,18,354,5.08%,70,108,64.81%,Don De Marco,38,2,MID
12/28/2017,bill.bautista@jasondaman.com,1086,13,1099,1.18%,36,98,36.73%,Joey Jordison,31,3,MID
1/4/2017,maria.alindada@basil.com,520,20,540,3.70%,83,125,66.40%,Buckey Barnes,44,10,PM
6/9/2017,aljon.rivera@basil.com,899,14,913,1.53%,92,145,63.45%,Buckey Barnes,50,3,PM
7/17/2017,ryan.perez@abc.com,820,19,839,2.26%,45,143,31.47%,Buckey Barnes,46,7,AM
3/4/2017,jocelyn.gerochi@basil.com,907,16,923,1.73%,92,126,73.02%,Joey Jordison,32,2,MID
6/1/2017,archie.cortez@abc.com,696,15,711,2.11%,44,105,41.90%,Buckey Barnes,64,3,AM
4/26/2017,wren.tabios@basil.com,642,18,660,2.73%,28,105,26.67%,Buckey Barnes,24,10,MID
7/14/2017,angelo.agbannaoag@basil.com,468,19,487,3.90%,61,124,49.19%,Buckey Barnes,35,2,PM
5/23/2017,lucky.morales@jom.com,521,25,546,4.58%,21,115,18.26%,Don De Marco,43,2,MID
3/29/2017,reymar.gasparillo@jom.com,832,10,842,1.19%,40,112,35.71%,Joey Jordison,54,2,MID
4/25/2017,allan.manabat@abc.com,796,28,824,3.40%,47,97,48.45%,Don De Marco,46,2,AM
2/26/2017,mark.gonzales@jasondaman.com,535,23,558,4.12%,51,101,50.50%,Buckey Barnes,57,7,AM
9/4/2017,marion.yutuc@basil.com,357,13,370,3.51%,100,148,67.57%,Don De Marco,48,1,AM
3/22/2017,maria.gagarin@jasondaman.com,379,14,393,3.56%,65,105,61.90%,Joey Jordison,29,7,MID
1/29/2017,may.lumba@jasondaman.com,648,24,672,3.57%,96,113,84.96%,Joey Jordison,46,2,AM
1/2/2017,aljon.rivera@tuso.com,1140,16,1156,1.38%,89,92,96.74%,Joey Jordison,64,2,AM
11/22/2017,lucky.morales@tuso.com,1051,20,1071,1.87%,91,112,81.25%,Buckey Barnes,41,5,AM
7/4/2017,lorenzo.pingul@jom.com,1162,22,1184,1.86%,58,142,40.85%,Buckey Barnes,29,4,MID
8/20/2017,reymar.gasparillo@jasondaman.com,1121,22,1143,1.92%,66,94,70.21%,Buckey Barnes,58,4,PM
5/18/2017,john.david@abc.com,1037,29,1066,2.72%,90,150,60.00%,Buckey Barnes,58,8,AM
8/30/2017,danez.bondoc@abc.com,769,15,784,1.91%,98,98,100.00%,Joey Jordison,59,6,PM
11/12/2017,avigail.manalili@jom.com,1195,22,1217,1.81%,62,104,59.62%,Buckey Barnes,57,8,PM
3/28/2017,bill.bautista@jom.com,1174,13,1187,1.10%,69,140,49.29%,Joey Jordison,24,1,PM
6/17/2017,avigail.manalili@tuso.com,860,19,879,2.16%,56,127,44.09%,Joey Jordison,46,10,PM
5/4/2017,jerico.alde@jom.com,886,21,907,2.32%,22,120,18.33%,Don De Marco,56,2,MID
11/5/2017,edward.malig@jasondaman.com,633,13,646,2.01%,26,129,20.16%,Joey Jordison,55,3,PM
11/6/2017,alexander.dula@tuso.com,978,29,1007,2.88%,40,117,34.19%,Buckey Barnes,49,6,PM
7/23/2017,deanly.dizon@basil.com,1097,57,1154,4.94%,75,117,64.10%,Buckey Barnes,48,3,PM
11/17/2017,ranie.liwanag@jom.com,1064,0,1064,0.00%,88,97,90.72%,Don De Marco,49,7,AM
9/15/2017,wren.tabios@tuso.com,1145,3,1148,0.26%,46,130,35.38%,Don De Marco,30,2,PM
8/11/2017,mark.antonio@jasondaman.com,419,4,423,0.95%,62,144,43.06%,Don De Marco,21,3,AM
3/18/2017,danez.bondoc@basil.com,480,8,488,1.64%,37,110,33.64%,Don De Marco,38,3,MID
3/10/2017,may.lumba@tuso.com,485,2,487,0.41%,29,118,24.58%,Joey Jordison,53,1,MID
7/27/2017,avigail.manalili@jasondaman.com,1112,4,1116,0.36%,48,100,48.00%,Joey Jordison,33,8,AM
9/30/2017,janessa.munoz@basil.com,1076,8,1084,0.74%,69,133,51.88%,Buckey Barnes,52,10,MID
11/21/2017,edward.malig@jasondaman.com,574,9,583,1.54%,65,111,58.56%,Don De Marco,52,2,PM
1/29/2017,calvin.martinez@jasondaman.com,407,5,412,1.21%,69,113,61.06%,Joey Jordison,46,9,MID
6/2/2017,catherin.gajelan@tuso.com,740,4,744,0.54%,72,91,79.12%,Joey Jordison,25,10,AM
10/11/2017,hanna.luat@basil.com,430,9,439,2.05%,95,133,71.43%,Don De Marco,43,1,AM
8/15/2017,lea.sahagun@jasondaman.com,784,9,793,1.13%,54,138,39.13%,Joey Jordison,43,3,MID
8/14/2017,marion.yutuc@tuso.com,722,4,726,0.55%,28,107,26.17%,Don De Marco,41,8,MID
11/5/2017,rolando.cabrera@basil.com,988,12,1000,1.20%,95,150,63.33%,Don De Marco,46,4,AM
1/11/2017,marion.yutuc@basil.com,647,11,658,1.67%,62,129,48.06%,Don De Marco,29,2,MID
1/12/2017,karen.garces@jasondaman.com,573,12,585,2.05%,39,110,35.45%,Don De Marco,25,9,MID
6/5/2017,aljen.lizada@abc.com,818,13,831,1.56%,32,106,30.19%,Buckey Barnes,38,7,PM
1/2/2017,michelle.canlas02@basil.com,939,11,950,1.16%,23,149,15.44%,Buckey Barnes,64,7,MID
1/3/2017,may.lumba@jasondaman.com,302,10,312,3.21%,93,143,65.03%,Don De Marco,50,4,PM
8/24/2017,janessa.munoz@abc.com,605,16,621,2.58%,98,105,93.33%,Don De Marco,52,5,MID
2/22/2017,wren.tabios@basil.com,468,6,474,1.27%,71,90,78.89%,Joey Jordison,44,1,AM
3/25/2017,alexander.dula@jom.com,569,8,577,1.39%,50,147,34.01%,Joey Jordison,52,7,AM
4/13/2017,calvin.martinez@jasondaman.com,312,5,317,1.58%,53,117,45.30%,Buckey Barnes,31,2,PM
1/1/2017,lucky.morales@jasondaman.com,1003,10,1013,0.99%,71,104,68.27%,Buckey Barnes,62,3,PM
1/15/2017,maria.tatlonghari@jom.com,1090,18,1108,1.62%,73,93,78.49%,Don De Marco,63,7,MID
11/15/2017,janessa.munoz@jasondaman.com,612,13,625,2.08%,26,136,19.12%,Joey Jordison,36,1,PM
4/1/2017,raissa.utulo@jasondaman.com,961,20,981,2.04%,60,94,63.83%,Buckey Barnes,44,10,MID
12/25/2017,jocelyn.gerochi@basil.com,527,14,541,2.59%,44,109,40.37%,Buckey Barnes,44,8,MID
8/7/2017,john.david@basil.com,840,19,859,2.21%,40,107,37.38%,Buckey Barnes,57,4,PM
5/18/2017,maria.tatlonghari@jom.com,795,16,811,1.97%,93,149,62.42%,Joey Jordison,36,9,MID
3/27/2017,lea.sahagun@jasondaman.com,615,15,630,2.38%,20,141,14.18%,Buckey Barnes,30,8,MID
2/6/2017,catherin.gajelan@basil.com,712,18,730,2.47%,62,147,42.18%,Buckey Barnes,39,1,AM
8/30/2017,jerico.alde@jom.com,1069,19,1088,1.75%,90,97,92.78%,Buckey Barnes,31,8,AM
5/13/2017,janessa.munoz@basil.com,554,25,579,4.32%,98,112,87.50%,Don De Marco,34,5,MID
3/21/2017,karlo.delacruz@jom.com,562,10,572,1.75%,60,141,42.55%,Joey Jordison,31,6,AM
10/28/2017,regine.samson@abc.com,350,28,378,7.41%,88,99,88.89%,Don De Marco,52,10,PM
8/3/2017,jerico.alde@jasondaman.com,1049,23,1072,2.15%,25,107,23.36%,Buckey Barnes,28,4,MID
7/9/2017,debonaire.liwanag@basil.com,638,13,651,2.00%,72,132,54.55%,Don De Marco,25,5,MID
7/19/2017,archie.cortez@jom.com,589,14,603,2.32%,96,135,71.11%,Joey Jordison,49,10,AM
1/8/2017,edward.malig@jom.com,1106,24,1130,2.12%,86,114,75.44%,Joey Jordison,34,10,MID
10/12/2017,janessa.munoz@jom.com,460,16,476,3.36%,85,139,61.15%,Joey Jordison,58,6,AM
5/10/2017,rey.mallari@abc.com,611,20,631,3.17%,96,142,67.61%,Buckey Barnes,32,2,MID
12/22/2017,maria.gagarin@jasondaman.com,303,22,325,6.77%,56,102,54.90%,Buckey Barnes,52,6,PM
5/29/2017,allan.manabat@basil.com,364,22,386,5.70%,41,113,36.28%,Buckey Barnes,58,1,AM
11/4/2017,bernard.gana@tuso.com,756,29,785,3.69%,74,130,56.92%,Buckey Barnes,60,10,MID
6/23/2017,may.lumba@basil.com,544,15,559,2.68%,36,127,28.35%,Joey Jordison,30,4,AM
7/7/2017,portia.bautista@tuso.com,955,22,977,2.25%,85,141,60.28%,Buckey Barnes,29,8,MID
6/26/2017,karen.garces@basil.com,867,13,880,1.48%,85,103,82.52%,Joey Jordison,57,8,AM
8/5/2017,ryan.perez@basil.com,844,19,863,2.20%,34,117,29.06%,Joey Jordison,55,1,PM
12/3/2017,lorenzo.pingul@abc.com,991,21,1012,2.08%,60,117,51.28%,Don De Marco,44,2,PM
6/18/2017,valesca.castro@basil.com,1031,13,1044,1.25%,24,123,19.51%,Joey Jordison,53,4,PM
11/11/2017,maria.gagarin@jom.com,439,29,468,6.20%,77,123,62.60%,Buckey Barnes,30,7,MID
1/20/2017,bernard.gana@jasondaman.com,612,57,669,8.52%,53,134,39.55%,Buckey Barnes,33,5,PM
3/18/2017,aljen.lizada@basil.com,628,0,628,0.00%,63,102,61.76%,Don De Marco,39,6,PM
6/5/2017,bernard.gana@jom.com,548,3,551,0.54%,89,148,60.14%,Don De Marco,58,5,AM
12/16/2017,jerico.alde@jasondaman.com,1146,4,1150,0.35%,77,113,68.14%,Don De Marco,32,1,AM
9/11/2017,allan.manabat@tuso.com,932,8,940,0.85%,41,93,44.09%,Don De Marco,56,2,AM
2/25/2017,allan.manabat@jom.com,1088,2,1090,0.18%,57,137,41.61%,Joey Jordison,34,4,PM
11/23/2017,lea.sahagun@abc.com,980,4,984,0.41%,32,105,30.48%,Joey Jordison,58,8,AM
1/20/2017,raissa.utulo@jom.com,1123,8,1131,0.71%,23,95,24.21%,Buckey Barnes,46,6,AM
2/5/2017,bill.badilla@jom.com,1047,9,1056,0.85%,35,136,25.74%,Don De Marco,49,4,AM
4/8/2017,calvin.martinez@basil.com,530,5,535,0.93%,47,124,37.90%,Joey Jordison,29,10,MID
7/4/2017,joy.vargas@abc.com,930,4,934,0.43%,97,104,93.27%,Joey Jordison,63,6,MID
5/20/2017,may.lumba@jasondaman.com,1185,9,1194,0.75%,69,120,57.50%,Don De Marco,34,3,MID
5/19/2017,angelo.agbannaoag@tuso.com,515,9,524,1.72%,29,98,29.59%,Joey Jordison,28,9,PM
7/17/2017,bill.badilla@tuso.com,1044,4,1048,0.38%,38,150,25.33%,Don De Marco,49,10,MID
1/12/2017,ranie.liwanag@basil.com,683,12,695,1.73%,80,135,59.26%,Don De Marco,62,9,MID
6/4/2017,may.lumba@jom.com,324,11,335,3.28%,67,99,67.68%,Don De Marco,24,6,PM
10/8/2017,debonaire.liwanag@jom.com,425,12,437,2.75%,62,120,51.67%,Don De Marco,43,6,PM
